name,path,category,tags,Size
Code Brackets,M19 23h-4v-2h3v-6a1 1 0 0 1 .29-.71l2.3-2.29-2.3-2.29A1 1 0 0 1 18 9V3h-3V1h4a1 1 0 0 1 1 1v6.59l2.71 2.7a1 1 0 0 1 0 1.42L20 15.41V22a1 1 0 0 1-1 1ZM9 21H6v-6a1 1 0 0 0-.29-.71L3.41 12l2.3-2.29A1 1 0 0 0 6 9V3h3V1H5a1 1 0 0 0-1 1v6.59l-2.71 2.7a1 1 0 0 0 0 1.42L4 15.41V22a1 1 0 0 0 1 1h4Z,Media,,24px
Code Terminal,m2.71 20.71-1.42-1.42L8.59 12l-7.3-7.29 1.42-1.42 8 8a1 1 0 0 1 0 1.42ZM23 19H10v2h13Z,Media,,24px
Complete Circled,m18.71 8.71-8 8a1 1 0 0 1-1.42 0l-4-4 1.42-1.42 3.29 3.3 7.29-7.3ZM23 12A11 11 0 1 1 12 1a11 11 0 0 1 11 11Zm-2 0a9 9 0 1 0-9 9 9 9 0 0 0 9-9Z,Actions,Check,24px
Crop,M23 16v2h-4v-2ZM17 6H8V1H6v5H1v2h15v8H8V9H6v8a1 1 0 0 0 1 1h9v5h2V7a1 1 0 0 0-1-1Z,Media,,24px
Cube,m21.485 6.126-9-5c-.301-.168-.67-.168-.971 0l-8.99999 5C2.19701 6.302 2 6.637 2 7v10c0 .363.197.698.515.874l9 5c.15.084.318.126.485.126.167 0 .335-.042.485-.126l9-5c.318-.176.515-.511.515-.874V7c0-.363-.197-.698-.515-.874ZM12 3.144 18.94 7 12 10.856 5.06 7 12 3.144ZM4 8.699l7 3.889v7.713l-7-3.89V8.699Zm9 11.602v-7.713l7-3.889v7.712l-7 3.89Z,Miscellaneous,Arrow,24px
Download,M6.71 8.71 5.29 7.29l6-6a1 1 0 0 1 1.42 0l6 6-1.42 1.42L13 4.41V17h-2V4.41ZM20 15v6H4v-6H2v7a1 1 0 0 0 1 1h18a1 1 0 0 0 1-1v-7Z,Actions,Arrow,24px
Draft,M19 12h2v10a1 1 0 0 1-1 1H2a1 1 0 0 1-1-1V4a1 1 0 0 1 1-1h10v2H3v16h16Zm4-7.62a2.51 2.51 0 0 1-.73 1.77l-2.56 2.56-10 10A1 1 0 0 1 9 19H6a1 1 0 0 1-1-1v-3a1 1 0 0 1 .29-.71l10-10 2.56-2.56a2.52 2.52 0 0 1 3.54 0l.88.88A2.49 2.49 0 0 1 23 4.38ZM17.59 8 16 6.41l-9 9V17h1.59ZM21 4.38a.47.47 0 0 0-.15-.38L20 3.15a.47.47 0 0 0-.38-.15.49.49 0 0 0-.35.15L17.41 5 19 6.59l1.85-1.86a.49.49 0 0 0 .15-.35Z,Media,Pencil,24px
Emoji,M12 1a11 11 0 1 0 11 11A11 11 0 0 0 12 1Zm0 20a9 9 0 1 1 9-9 9 9 0 0 1-9 9Zm7-9a7 7 0 0 1-14 0h2a5 5 0 0 0 10 0Zm-9-1H8V7h2Zm6 0h-2V7h2Z,Communication,,24px
Exclusive,m22.87 8.5-4-7A1 1 0 0 0 18 1H6a1 1 0 0 0-.87.5l-4 7a1 1 0 0 0 .08 1.11l10 13a1 1 0 0 0 1.58 0l10-13a1 1 0 0 0 .08-1.11ZM11 19.06 4 10h7ZM13 10h7l-7 9.06Zm1.17-2 3.65-4.27L20.27 8ZM12 7.46 8.17 3h7.64ZM6.16 3.73 9.83 8H3.72Z,Miscellaneous,,24px
Expand,M23 2v7h-2V4.41l-6.29 6.3-1.42-1.42L19.59 3H15V1h7a1 1 0 0 1 1 1ZM9.29 13.29 3 19.59V15H1v7a1 1 0 0 0 1 1h7v-2H4.41l6.3-6.29ZM21 19.59l-6.29-6.3-1.42 1.42 6.3 6.29H15v2h7a1 1 0 0 0 1-1v-7h-2ZM9 3V1H2a1 1 0 0 0-1 1v7h2V4.41l6.29 6.3 1.42-1.42L4.41 3Z,Actions,Arrow,24px
Floppy Disc,m21.71 7.29-5-5a.93.93 0 0 0-.33-.21A1 1 0 0 0 16 2H3a1 1 0 0 0-1 1v18a1 1 0 0 0 1 1h18a1 1 0 0 0 1-1V8a1 1 0 0 0-.29-.71ZM15 4v3H9V4ZM9 20v-6h6v6Zm11 0h-3v-7a1 1 0 0 0-1-1H8a1 1 0 0 0-1 1v7H4V4h3v4a1 1 0 0 0 1 1h8a1 1 0 0 0 1-1V5.41l3 3Z,Media,,24px
Folder,M22 8H10a1 1 0 0 0-.71.29L7.59 10H2a1 1 0 0 0-1 1v10a1 1 0 0 0 1 1h20a1 1 0 0 0 1-1V9a1 1 0 0 0-1-1Zm-1 12H3v-8h5a1 1 0 0 0 .71-.29l1.7-1.71H21Zm2-15v2h-2V6H10a1 1 0 0 1-.71-.29L7.59 4H3v5H1V3a1 1 0 0 1 1-1h6a1 1 0 0 1 .71.29L10.41 4H22a1 1 0 0 1 1 1Z,Media,,24px
Headphones,M12 1A10 10 0 0 0 2 11v9a3 3 0 0 0 3 3h2a3 3 0 0 0 3-3v-3a3 3 0 0 0-3-3H4v-3a8 8 0 0 1 16 0v3h-3a3 3 0 0 0-3 3v3a3 3 0 0 0 3 3h2a3 3 0 0 0 3-3v-9A10 10 0 0 0 12 1ZM7 16a1 1 0 0 1 1 1v3a1 1 0 0 1-1 1H5a1 1 0 0 1-1-1v-4Zm13 2v2a1 1 0 0 1-1 1h-2a1 1 0 0 1-1-1v-3a1 1 0 0 1 1-1h3v2Z,Media,,24px
Home,M21 23h-6v-2h5V10.45l-8-7.11-8 7.11V21h5v2H3a1 1 0 0 1-1-1V10a1 1 0 0 1 .34-.75l9-8a1 1 0 0 1 1.32 0l9 8A1 1 0 0 1 22 10v12a1 1 0 0 1-1 1Z,System,,24px
Inbox,m22.89 11.56-4-8A1 1 0 0 0 18 3H6a1 1 0 0 0-.89.55l-4 8A1.06 1.06 0 0 0 1 12v8a1 1 0 0 0 1 1h20a1 1 0 0 0 1-1v-8a1.06 1.06 0 0 0-.11-.44ZM6.62 5h10.76l3 6H16a1 1 0 0 0-.83.45L13.46 14h-2.92l-1.71-2.55A1 1 0 0 0 8 11H3.62ZM21 19H3v-6h4.46l1.71 2.55A1 1 0 0 0 10 16h4a1 1 0 0 0 .83-.45L16.54 13H21Z,Media,,24px
Information,M12 1a11 11 0 1 0 11 11A11 11 0 0 0 12 1Zm0 20a9 9 0 1 1 9-9 9 9 0 0 1-9 9Zm1-5h2v2H9v-2h2v-4H9v-2h3a1 1 0 0 1 1 1Zm-2.5-8.5A1.5 1.5 0 1 1 12 9a1.5 1.5 0 0 1-1.5-1.5Z,System,,24px
Layers,m1.49 8.86 10 6a1 1 0 0 0 1 0l10-6a1 1 0 0 0 0-1.72l-10-6a1 1 0 0 0-1 0l-10 6a1 1 0 0 0 0 1.72ZM12 3.17 20.06 8 12 12.83 3.94 8ZM23 12a1 1 0 0 1-.49.86l-10 6a1 1 0 0 1-1 0l-10-6a1 1 0 0 1 0-1.72l.49-.31L4 12l8 4.83L20.06 12 22 10.83l.51.31A1 1 0 0 1 23 12Zm0 4a1 1 0 0 1-.49.86l-10 6a1 1 0 0 1-1 0l-10-6a1 1 0 0 1 0-1.72l.49-.31L4 16l8 4.83L20.06 16 22 14.83l.51.31A1 1 0 0 1 23 16Z,Media,,24px
Map,M22.55 4.17a1 1 0 0 0-.94-.09l-6.38 2.73-5.52-5.52h-.06a.39.39 0 0 0-.1-.08s0 0-.05 0h-.09L9.25 1h-.37l-.22.05-7 3A1 1 0 0 0 1 5v14a1 1 0 0 0 .45.83A1 1 0 0 0 2 20a1 1 0 0 0 .39-.08l6.38-2.73 5.52 5.52a.58.58 0 0 0 .12.1.67.67 0 0 0 .12.06h.09A1 1 0 0 0 15 23a.84.84 0 0 0 .38-.08l7-3A1 1 0 0 0 23 19V5a1 1 0 0 0-.45-.83ZM3 5.66l5-2.14v11.82l-5 2.14Zm7-1.25 4 4v11.18l-4-4Zm11 13.93-5 2.14V8.66l5-2.14Z,Miscellaneous,,24px
Megaphone,M22.6 2.2a1 1 0 0 0-.89-.2l-20 6A1 1 0 0 0 1 9v6a1 1 0 0 0 .71 1L6 17.24V21a1 1 0 0 0 1 1h6a1 1 0 0 0 1-1v-1.35L21.71 22a1 1 0 0 0 .29 0 1 1 0 0 0 .6-.2 1 1 0 0 0 .4-.8V3a1 1 0 0 0-.4-.8ZM3 9.74l14-4.2v12.92l-14-4.2ZM12 20H8v-2.16l4 1.21Zm9-.34-2-.6V4.94l2-.6Z,Communication,,24px
